Kategori: Semua kategori

Bulan,data science: (Seluruh dunia)
2012-01,7
2012-02,7
2012-03,7
2012-04,6
2012-05,6
2012-06,6
2012-07,6
2012-08,6
2012-09,9
2012-10,8
2012-11,8
2012-12,6
2013-01,7
2013-02,8
2013-03,7
2013-04,8
2013-05,8
2013-06,7
2013-07,7
2013-08,9
2013-09,11
2013-10,10
2013-11,11
2013-12,9
2014-01,12
2014-02,12
2014-03,12
2014-04,12
2014-05,12
2014-06,11
2014-07,12
2014-08,15
2014-09,19
2014-10,15
2014-11,18
2014-12,15
2015-01,19
2015-02,18
2015-03,18
2015-04,19
2015-05,18
2015-06,19
2015-07,19
2015-08,23
2015-09,26
2015-10,24
2015-11,23
2015-12,23
2016-01,25
2016-02,25
2016-03,25
2016-04,25
2016-05,26
2016-06,26
2016-07,25
2016-08,29
2016-09,33
2016-10,33
2016-11,34
2016-12,32
2017-01,40
2017-02,38
2017-03,43
2017-04,42
2017-05,42
2017-06,41
2017-07,40
2017-08,46
2017-09,51
2017-10,52
2017-11,51
2017-12,47
2018-01,54
2018-02,56
2018-03,56
2018-04,56
2018-05,57
2018-06,55
2018-07,57
2018-08,61
2018-09,65
2018-10,66
2018-11,65
2018-12,58
2019-01,74
2019-02,74
2019-03,75
2019-04,72
2019-05,74
2019-06,76
2019-07,84
2019-08,86
2019-09,91
2019-10,88
2019-11,88
2019-12,77
2020-01,92
2020-02,100
2020-03,81
2020-04,84
2020-05,85
2020-06,84
2020-07,91
2020-08,89
2020-09,96
2020-10,83
2020-11,77
2020-12,72
2021-01,78
2021-02,76
2021-03,76
2021-04,78
2021-05,73
